iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
100,1.326,1e-05,1.037,27.114,2615,5.179
200,0.226,1e-05,1.064,27.696,5219,5.179
300,0.22,1e-05,1.061,27.566,7816,5.179
400,0.212,1e-05,1.061,28.034,10457,5.179
500,0.185,1e-05,1.057,27.352,13045,5.179
600,0.193,1e-05,1.059,27.53,15644,5.179
700,0.179,1e-05,1.06,27.359,18226,5.179
800,0.201,1e-05,1.049,27.629,20860,5.179
900,0.183,1e-05,1.07,28.158,23492,5.179
1000,0.171,1e-05,1.032,26.918,26101,7.208
1100,0.178,1e-05,1.058,27.794,28727,7.208
1200,0.171,1e-05,1.06,27.712,31342,7.208
1300,0.165,1e-05,1.069,27.651,33929,7.208
1400,0.144,1e-05,1.047,26.846,36492,7.208
1500,0.193,1e-05,1.045,27.514,39124,7.208
1600,0.181,1e-05,1.049,27.387,41735,7.208
1700,0.167,1e-05,0.993,25.871,44341,7.208
1800,0.176,1e-05,0.941,24.811,46977,7.208
1900,0.173,1e-05,0.942,24.797,49610,7.208
2000,0.175,1e-05,0.944,24.695,52225,7.208
2100,0.171,1e-05,0.95,25.06,54864,7.208
2200,0.178,1e-05,0.948,24.823,57482,7.208
2300,0.156,1e-05,0.944,24.64,60091,7.208
2400,0.179,1e-05,0.939,24.694,62720,7.208
2500,0.191,1e-05,0.948,24.793,65336,7.208
2600,0.145,1e-05,0.946,24.359,67911,7.208
2700,0.164,1e-05,0.95,24.965,70540,7.208
2800,0.156,1e-05,0.939,24.862,73188,7.208
2900,0.162,1e-05,0.945,24.474,75778,7.208
3000,0.168,1e-05,0.943,24.668,78393,7.208
3100,0.148,1e-05,0.941,24.612,81009,7.208
3200,0.152,1e-05,0.946,24.51,83600,7.208
3300,0.172,1e-05,0.948,24.859,86222,7.208
3400,0.151,1e-05,0.951,25.138,88865,7.208
3500,0.155,1e-05,0.937,24.26,91454,7.208
3600,0.138,1e-05,0.949,24.452,94030,7.208
3700,0.151,1e-05,0.937,24.327,96625,7.208
3800,0.163,1e-05,0.944,24.785,99251,7.208
3900,0.15,1e-05,0.936,24.285,101846,7.208
4000,0.16,1e-05,0.954,24.838,104450,7.208
4100,0.16,1e-05,0.946,24.804,107072,7.208
4200,0.149,1e-05,0.948,24.771,109686,7.208
4300,0.169,1e-05,0.943,24.884,112325,7.208
4400,0.16,1e-05,0.946,24.696,114935,7.208
4500,0.167,1e-05,0.939,24.644,117559,7.208
4600,0.144,1e-05,0.944,24.419,120147,7.208
4700,0.155,1e-05,0.952,25.063,122781,7.208
4800,0.153,1e-05,0.943,24.774,125407,7.208
4900,0.164,1e-05,0.928,24.302,128026,7.208
5000,0.151,1e-05,0.942,24.765,130656,7.208
5100,0.162,1e-05,0.939,24.713,133287,7.208
5200,0.134,1e-05,0.943,24.748,135912,7.208
5300,0.153,1e-05,0.941,24.571,138523,7.208
5400,0.163,1e-05,0.945,24.99,141167,7.208
5500,0.15,1e-05,0.94,24.685,143792,7.208
5600,0.151,1e-05,0.945,24.528,146388,7.208
5700,0.155,1e-05,0.951,24.858,149002,7.208
5800,0.156,1e-05,0.938,24.431,151608,7.208
5900,0.156,1e-05,0.941,24.35,154196,7.208
6000,0.164,1e-05,0.939,24.582,156814,7.208
6100,0.149,1e-05,0.94,24.41,159412,7.208
6200,0.153,1e-05,0.951,24.558,161993,7.208
6300,0.125,1e-05,0.94,24.531,164602,7.208
6400,0.169,1e-05,0.938,25.092,167278,7.208
6500,0.139,1e-05,0.951,24.637,169869,7.208
6600,0.148,1e-05,0.943,24.892,172510,7.208
6700,0.156,1e-05,0.942,24.296,175090,7.208
6800,0.164,1e-05,0.95,25.229,177745,7.208
6900,0.138,1e-05,0.93,24.143,180340,7.208
7000,0.178,1e-05,0.938,24.906,182995,7.208
7100,0.151,1e-05,0.943,24.594,185603,7.208
7200,0.145,1e-05,0.943,24.709,188222,7.208
7300,0.137,1e-05,0.938,24.469,190832,7.208
7400,0.155,1e-05,0.953,25.023,193459,7.208
7500,0.139,1e-05,0.947,24.468,196042,7.208
7600,0.152,1e-05,0.935,24.459,198658,7.208
7700,0.148,1e-05,0.94,24.583,201273,7.208
7800,0.157,1e-05,0.944,24.41,203860,7.208
7900,0.164,1e-05,0.942,25.088,206524,7.208
8000,0.144,1e-05,0.948,24.959,209158,7.208
8100,0.159,1e-05,0.967,25.52,211797,7.208
8200,0.145,1e-05,1.018,26.664,214416,7.208
8300,0.147,1e-05,1.059,27.78,217040,7.208
8400,0.153,1e-05,1.053,27.804,219680,7.208
8500,0.15,1e-05,1.046,27.357,222296,7.208
8600,0.133,1e-05,1.054,27.279,224883,7.208
8700,0.144,1e-05,1.066,27.897,227500,7.208
8800,0.149,1e-05,1.051,27.698,230135,7.208
8900,0.143,1e-05,1.063,27.591,232731,7.208
9000,0.14,1e-05,1.055,27.445,235332,7.208
9100,0.127,1e-05,1.07,27.824,237933,7.208
9200,0.153,1e-05,1.07,28.053,240555,7.208
9300,0.141,1e-05,1.073,27.794,243146,7.208
9400,0.151,1e-05,1.062,27.751,245760,7.208
9500,0.141,1e-05,1.058,27.706,248378,7.208
9600,0.14,1e-05,1.066,27.695,250976,7.208
9700,0.141,1e-05,1.055,27.475,253580,7.208
9800,0.142,1e-05,1.055,27.565,256192,7.208
9900,0.152,1e-05,1.064,27.934,258818,7.208
10000,0.148,1e-05,1.059,27.398,261405,7.208
10100,0.131,1e-05,1.067,27.613,263994,7.208
10200,0.148,1e-05,1.061,27.453,266581,7.208
10300,0.149,1e-05,1.054,27.697,269210,7.208
10400,0.151,1e-05,1.025,26.578,271803,7.208
10500,0.132,1e-05,1.016,26.241,274387,7.208
10600,0.134,1e-05,1.009,26.257,276990,7.208
10700,0.147,1e-05,1.018,26.755,279617,7.208
10800,0.149,1e-05,1.024,27.008,282255,7.208
10900,0.142,1e-05,1.033,26.828,284852,7.208
11000,0.126,1e-05,1.032,26.685,287438,7.208
11100,0.128,1e-05,1.033,26.673,290020,7.208
11200,0.15,1e-05,0.997,26.036,292632,7.208
11300,0.138,1e-05,1.012,26.419,295242,7.208
11400,0.132,1e-05,0.992,25.575,297819,7.208
11500,0.147,1e-05,0.897,23.697,300462,7.208
11600,0.144,1e-05,0.991,26.112,303096,7.208
11700,0.15,1e-05,1.061,27.912,305727,7.208
11800,0.154,1e-05,1.072,28.292,308367,7.208
11900,0.141,1e-05,1.07,27.707,310956,7.208
12000,0.128,1e-05,1.068,27.789,313558,7.208
12100,0.149,1e-05,1.065,27.832,316172,7.208
12200,0.155,1e-05,1.062,27.812,318790,7.208
12300,0.136,1e-05,1.075,28.162,321409,7.208
12400,0.133,1e-05,1.059,27.654,324021,7.208
12500,0.148,1e-05,1.06,27.629,326627,7.208
12600,0.159,1e-05,1.054,27.756,329261,7.208
12700,0.139,1e-05,1.065,27.595,331852,7.208
12800,0.148,1e-05,1.073,28.001,334461,7.208
12900,0.155,1e-05,1.066,27.949,337084,7.208
13000,0.132,1e-05,1.06,27.378,339668,7.208
13100,0.14,1e-05,1.061,27.207,342233,7.208
13200,0.14,1e-05,1.061,27.609,344835,7.208
13300,0.139,1e-05,1.063,27.751,347445,7.208
13400,0.148,1e-05,1.052,27.71,350078,7.208
13500,0.147,1e-05,1.063,27.951,352708,7.208
13600,0.127,1e-05,1.073,27.598,355279,7.208
13700,0.131,1e-05,1.067,27.77,357882,7.208
13800,0.13,1e-05,1.061,27.404,360465,7.208
13900,0.143,1e-05,1.061,27.498,363056,7.208
14000,0.152,1e-05,1.069,28.31,365704,7.208
14100,0.128,1e-05,1.078,27.893,368292,7.208
14200,0.127,1e-05,1.058,27.041,370847,7.208
14300,0.137,1e-05,1.067,27.693,373442,7.208
14400,0.157,1e-05,1.007,26.3,376055,7.208
14500,0.161,1e-05,0.901,23.711,378688,7.208
14600,0.151,1e-05,1.031,26.908,381297,7.208
14700,0.137,1e-05,1.064,27.795,383910,7.208
14800,0.149,1e-05,1.061,27.988,386549,7.208
14900,0.151,1e-05,1.057,27.705,389170,7.208
15000,0.157,1e-05,1.068,27.965,391788,7.208
15100,0.132,1e-05,1.066,28.088,394423,7.208
15200,0.149,1e-05,1.07,28.314,397069,7.208
15300,0.132,1e-05,1.059,27.438,399660,7.208
15400,0.15,1e-05,1.056,27.533,402267,7.208
15500,0.133,1e-05,1.014,26.717,404902,7.208
15600,0.136,1e-05,1.021,26.646,407513,7.208
15700,0.138,1e-05,1.013,26.269,410106,7.208
15800,0.143,1e-05,1.016,26.397,412704,7.208
15900,0.135,1e-05,1.01,26.224,415301,7.208
16000,0.15,1e-05,1.011,26.209,417894,7.208
16100,0.146,1e-05,1.034,27.247,420530,7.208
16200,0.144,1e-05,1.016,26.4,423128,7.208
16300,0.148,1e-05,1.021,26.862,425758,7.208
16400,0.135,1e-05,1.023,26.806,428379,7.208
16500,0.15,1e-05,1.023,27.097,431029,7.208
16600,0.153,1e-05,1.017,26.542,433638,7.208
16700,0.145,1e-05,1.012,26.341,436241,7.208
16800,0.145,1e-05,1.026,26.663,438839,7.208
16900,0.149,1e-05,1.049,27.4,441450,7.208
17000,0.164,1e-05,1.061,27.93,444082,7.208
17100,0.148,1e-05,1.068,27.851,446691,7.208
17200,0.154,1e-05,0.937,24.694,449327,7.208
17300,0.16,1e-05,0.922,24.264,451958,7.208
17400,0.146,1e-05,0.929,24.195,454562,7.208
17500,0.14,1e-05,0.932,24.169,457156,7.208
17600,0.15,1e-05,0.928,24.321,459777,7.208
17700,0.144,1e-05,0.928,24.349,462400,7.208
17800,0.139,1e-05,0.923,24.236,465027,7.208
17900,0.142,1e-05,0.93,24.565,467668,7.208
18000,0.125,1e-05,0.924,23.851,470249,7.208
18100,0.133,1e-05,0.921,23.835,472836,7.208
18200,0.133,1e-05,0.935,24.344,475441,7.208
18300,0.131,1e-05,0.935,24.369,478047,7.208
18400,0.141,1e-05,0.928,24.303,480667,7.208
18500,0.139,1e-05,0.925,24.117,483273,7.208
18600,0.141,1e-05,0.932,24.757,485928,7.208
18700,0.134,1e-05,0.932,24.291,488533,7.208
18800,0.136,1e-05,0.928,24.162,491137,7.208
18900,0.146,1e-05,0.922,24.028,493744,7.208
19000,0.144,1e-05,0.925,24.243,496364,7.208
19100,0.124,1e-05,0.938,24.539,498981,7.208
19200,0.144,1e-05,0.931,24.348,501596,7.208
19300,0.126,1e-05,0.926,24.218,504211,7.208
19400,0.141,1e-05,0.928,24.321,506833,7.208
19500,0.151,1e-05,0.923,24.265,509463,7.208
19600,0.146,1e-05,0.923,24.408,512107,7.208
19700,0.145,1e-05,0.932,24.26,514709,7.208
19800,0.141,1e-05,0.927,24.149,517315,7.208
19900,0.125,1e-05,0.919,23.965,519923,7.208
20000,0.142,1e-05,0.93,24.253,522531,7.208
20100,0.14,1e-05,0.929,24.503,525168,7.208
20200,0.151,1e-05,0.925,24.325,527797,7.208
20300,0.13,1e-05,0.931,24.194,530396,7.208
20400,0.135,1e-05,0.931,24.224,532999,7.208
