iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
20,2.258,1e-05,0.349,22.778,1305,7.312
40,0.315,1e-05,0.369,24.259,2620,7.312
60,0.222,1e-05,0.352,22.743,3913,7.312
80,0.248,1e-05,0.352,23.081,5225,7.312
100,0.266,1e-05,0.362,23.868,6543,7.312
120,0.195,1e-05,0.355,22.809,7828,7.312
140,0.222,1e-05,0.363,23.765,9137,7.312
160,0.194,1e-05,0.363,23.367,10425,7.312
180,0.228,1e-05,0.363,24.068,11751,7.312
200,0.182,1e-05,0.363,23.691,13058,7.312
