iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
100,1.304,1e-05,0.782,20.266,2592,5.179
200,0.27,1e-05,0.792,20.929,5235,5.179
300,0.234,1e-05,0.79,20.749,7862,5.179
400,0.194,1e-05,0.788,20.434,10456,5.179
500,0.203,1e-05,0.791,20.693,13071,5.179
600,0.201,1e-05,0.795,20.65,15667,5.179
700,0.186,1e-05,0.792,20.783,18290,5.179
800,0.191,1e-05,0.797,20.858,20908,5.179
900,0.185,1e-05,0.791,20.633,23515,5.179
1000,0.198,1e-05,0.796,21.011,26153,5.179
1100,0.189,1e-05,0.793,20.827,28778,5.373
1200,0.197,1e-05,0.79,20.731,31402,5.373
1300,0.178,1e-05,0.779,20.29,34008,7.075
1400,0.18,1e-05,0.797,20.83,36621,7.075
1500,0.18,1e-05,0.795,20.98,39260,7.075
1600,0.181,1e-05,0.785,20.619,41887,7.075
1700,0.197,1e-05,0.787,20.959,44549,7.075
1800,0.182,1e-05,0.798,20.955,47174,7.075
1900,0.169,1e-05,0.795,20.962,49811,7.075
2000,0.182,1e-05,0.784,20.708,52451,7.075
2100,0.17,1e-05,0.786,20.397,55046,7.075
2200,0.174,1e-05,0.791,20.795,57676,7.075
2300,0.181,1e-05,0.788,20.6,60291,7.075
2400,0.168,1e-05,0.791,20.543,62889,7.075
2500,0.178,1e-05,0.785,20.588,65513,7.075
2600,0.17,1e-05,0.796,20.867,68133,7.075
2700,0.165,1e-05,0.787,20.655,70757,7.075
2800,0.163,1e-05,0.792,20.624,73360,7.075
2900,0.179,1e-05,0.793,20.863,75991,7.075
3000,0.17,1e-05,0.789,20.557,78596,7.075
3100,0.176,1e-05,0.792,20.859,81231,7.075
3200,0.179,1e-05,0.791,21.043,83891,7.075
3300,0.151,1e-05,0.797,20.675,86485,7.075
3400,0.176,1e-05,0.792,20.795,89110,7.075
3500,0.169,1e-05,0.791,20.704,91728,7.075
3600,0.17,1e-05,0.79,20.524,94327,7.075
3700,0.182,1e-05,0.797,21.191,96986,7.075
3800,0.174,1e-05,0.789,21.001,99647,7.075
3900,0.167,1e-05,0.787,20.884,102301,7.075
4000,0.167,1e-05,0.789,20.96,104956,7.075
4100,0.159,1e-05,0.789,20.669,107577,7.075
4200,0.161,1e-05,0.797,21.005,110211,7.075
4300,0.165,1e-05,0.8,20.923,112828,7.075
4400,0.176,1e-05,0.793,21.12,115491,7.075
4500,0.165,1e-05,0.788,20.642,118111,7.075
4600,0.151,1e-05,0.795,20.911,120740,7.075
4700,0.181,1e-05,0.789,21.039,123406,7.075
4800,0.167,1e-05,0.794,20.876,126035,7.075
4900,0.149,1e-05,0.788,20.603,128649,7.075
5000,0.157,1e-05,0.793,20.789,131272,7.075
5100,0.159,1e-05,0.79,20.834,133910,7.075
5200,0.159,1e-05,0.789,20.748,136539,7.075
5300,0.164,1e-05,0.79,20.682,139158,7.075
5400,0.159,1e-05,0.792,20.754,141778,7.075
5500,0.162,1e-05,0.785,20.726,144419,7.075
5600,0.163,1e-05,0.791,20.756,147044,7.075
5700,0.15,1e-05,0.797,20.593,149627,7.075
5800,0.157,1e-05,0.795,20.821,152245,7.075
5900,0.147,1e-05,0.796,20.995,154882,7.075
6000,0.154,1e-05,0.795,21.0,157522,7.075
6100,0.152,1e-05,0.785,20.593,160145,7.075
6200,0.166,1e-05,0.793,20.619,162744,7.075
6300,0.159,1e-05,0.785,20.686,165378,7.075
6400,0.151,1e-05,0.788,20.52,167983,7.075
6500,0.162,1e-05,0.784,20.665,170618,7.075
6600,0.172,1e-05,0.79,21.042,173282,7.075
6700,0.161,1e-05,0.793,21.015,175932,7.075
6800,0.155,1e-05,0.795,20.829,178552,7.075
6900,0.153,1e-05,0.792,20.88,181189,7.075
7000,0.158,1e-05,0.798,20.977,183819,7.075
7100,0.147,1e-05,0.799,21.086,186459,7.075
7200,0.168,1e-05,0.786,20.469,189062,7.075
7300,0.162,1e-05,0.795,21.031,191707,7.075
7400,0.156,1e-05,0.793,20.827,194333,7.075
7500,0.145,1e-05,0.792,20.502,196921,7.075
7600,0.151,1e-05,0.794,20.988,199565,7.075
7700,0.153,1e-05,0.795,20.751,202176,7.075
7800,0.161,1e-05,0.804,21.23,204817,7.075
7900,0.152,1e-05,0.783,20.329,207413,7.075
8000,0.143,1e-05,0.791,20.669,210025,7.075
8100,0.149,1e-05,0.793,20.614,212624,7.075
8200,0.141,1e-05,0.784,20.418,215227,7.075
8300,0.152,1e-05,0.785,20.605,217853,7.075
8400,0.165,1e-05,0.798,21.294,220522,7.075
8500,0.168,1e-05,0.796,21.24,223189,7.075
8600,0.16,1e-05,0.811,21.278,225813,7.075
8700,0.171,1e-05,0.872,22.839,228433,7.075
8800,0.164,1e-05,0.882,23.026,231043,7.075
8900,0.159,1e-05,0.945,24.753,233661,7.075
9000,0.15,1e-05,0.799,20.778,236263,7.075
9100,0.149,1e-05,0.793,20.923,238902,7.075
9200,0.165,1e-05,0.792,21.005,241555,7.075
9300,0.161,1e-05,0.795,21.027,244201,7.075
9400,0.171,1e-05,0.793,21.078,246858,7.075
9500,0.143,1e-05,0.792,20.805,249486,7.075
9600,0.15,1e-05,0.796,20.935,252116,7.075
9700,0.16,1e-05,0.788,20.877,254765,7.075
9800,0.163,1e-05,0.79,20.692,257385,7.075
9900,0.176,1e-05,0.776,20.878,260076,7.075
10000,0.156,1e-05,0.792,20.98,262724,7.075
10100,0.168,1e-05,0.791,20.94,265371,7.075
10200,0.167,1e-05,0.795,20.955,268008,7.075
10300,0.143,1e-05,0.796,20.906,270636,7.075
10400,0.163,1e-05,0.799,20.986,273264,7.075
10500,0.166,1e-05,0.792,20.819,275893,7.075
10600,0.14,1e-05,0.799,21.033,278527,7.075
10700,0.153,1e-05,0.789,20.617,281139,7.075
10800,0.143,1e-05,0.794,20.702,283745,7.075
10900,0.158,1e-05,0.791,21.012,286401,7.075
11000,0.143,1e-05,0.79,20.711,289024,7.075
11100,0.155,1e-05,0.795,20.721,291630,7.075
11200,0.145,1e-05,0.79,20.906,294276,7.075
11300,0.149,1e-05,0.794,20.744,296888,7.075
11400,0.159,1e-05,0.791,20.725,299507,7.075
11500,0.152,1e-05,0.796,20.636,302099,7.075
11600,0.141,1e-05,0.794,20.626,304697,7.075
11700,0.154,1e-05,0.795,21.132,307356,7.075
11800,0.148,1e-05,0.797,20.812,309967,7.075
11900,0.166,1e-05,0.788,20.838,312610,7.075
12000,0.154,1e-05,0.793,20.808,315234,7.075
12100,0.151,1e-05,0.79,20.715,317855,7.075
12200,0.159,1e-05,0.796,20.916,320482,7.075
12300,0.147,1e-05,0.787,20.765,323121,7.075
12400,0.139,1e-05,0.796,20.726,325726,7.075
12500,0.132,1e-05,0.791,20.591,328330,7.075
12600,0.16,1e-05,0.794,21.113,330988,7.075
12700,0.156,1e-05,0.786,20.538,333602,7.075
12800,0.14,1e-05,0.795,20.871,336228,7.075
12900,0.155,1e-05,0.795,21.166,338890,7.075
13000,0.157,1e-05,0.795,20.865,341515,7.075
13100,0.156,1e-05,0.789,20.675,344136,7.075
13200,0.141,1e-05,0.794,20.694,346742,7.075
13300,0.143,1e-05,0.789,20.684,349363,7.075
13400,0.145,1e-05,0.791,20.637,351971,7.075
13500,0.137,1e-05,0.798,20.965,354597,7.075
13600,0.166,1e-05,0.79,20.852,357238,7.075
13700,0.145,1e-05,0.797,21.034,359878,7.075
13800,0.14,1e-05,0.793,20.581,362474,7.075
13900,0.157,1e-05,0.789,20.809,365113,7.075
14000,0.144,1e-05,0.796,20.765,367722,7.075
14100,0.154,1e-05,0.798,20.965,370349,7.075
14200,0.153,1e-05,0.792,20.578,372947,7.075
14300,0.157,1e-05,0.786,20.729,375583,7.075
14400,0.157,1e-05,0.794,20.952,378222,7.075
14500,0.137,1e-05,0.793,20.63,380825,7.075
14600,0.157,1e-05,0.792,20.807,383452,7.075
14700,0.148,1e-05,0.794,20.708,386061,7.075
14800,0.148,1e-05,0.792,20.858,388695,7.075
14900,0.148,1e-05,0.794,20.851,391321,7.075
15000,0.153,1e-05,0.791,20.622,393927,7.075
15100,0.163,1e-05,0.794,20.974,396568,7.075
15200,0.142,1e-05,0.791,20.584,399170,7.075
15300,0.148,1e-05,0.791,20.658,401783,7.075
15400,0.135,1e-05,0.786,20.342,404372,7.075
15500,0.163,1e-05,0.795,20.941,407005,7.075
15600,0.154,1e-05,0.791,20.923,409649,7.075
15700,0.146,1e-05,0.793,21.085,412307,7.075
15800,0.16,1e-05,0.789,20.829,414948,7.075
15900,0.148,1e-05,0.794,20.886,417578,7.075
16000,0.139,1e-05,0.794,20.45,420153,7.075
16100,0.152,1e-05,0.788,20.547,422759,7.075
16200,0.155,1e-05,0.784,20.539,425380,7.075
16300,0.148,1e-05,0.786,20.705,428013,7.075
16400,0.151,1e-05,0.791,20.533,430610,7.075
16500,0.171,1e-05,0.796,21.29,433285,7.075
16600,0.158,1e-05,0.785,20.625,435911,7.075
16700,0.145,1e-05,0.775,20.248,438523,7.19
16800,0.154,1e-05,0.794,20.87,441153,7.19
16900,0.154,1e-05,0.792,21.006,443804,7.19
17000,0.134,1e-05,0.797,20.674,446399,7.19
17100,0.154,1e-05,0.795,20.729,449008,7.19
17200,0.166,1e-05,0.79,21.034,451671,7.19
17300,0.168,1e-05,0.789,20.894,454320,7.19
17400,0.164,1e-05,0.783,20.793,456976,7.208
17500,0.146,1e-05,0.79,20.363,459553,7.208
17600,0.162,1e-05,0.797,21.12,462203,7.208
17700,0.131,1e-05,0.8,20.722,464794,7.208
17800,0.155,1e-05,0.794,21.133,467454,7.208
17900,0.15,1e-05,0.798,20.853,470068,7.208
18000,0.145,1e-05,0.791,20.734,472689,7.208
18100,0.144,1e-05,0.793,20.739,475304,7.208
18200,0.138,1e-05,0.793,20.739,477920,7.208
18300,0.145,1e-05,0.797,20.878,480539,7.208
18400,0.166,1e-05,0.792,20.783,483163,7.208
18500,0.153,1e-05,0.789,20.667,485782,7.208
18600,0.136,1e-05,0.796,20.567,488366,7.208
18700,0.165,1e-05,0.797,21.379,491049,7.208
18800,0.139,1e-05,0.799,20.91,493665,7.208
18900,0.157,1e-05,0.796,20.952,496298,7.208
19000,0.143,1e-05,0.797,20.541,498874,7.208
19100,0.156,1e-05,0.788,20.641,501495,7.208
19200,0.147,1e-05,0.787,20.587,504110,7.208
19300,0.127,1e-05,0.803,20.916,506715,7.208
19400,0.146,1e-05,0.951,24.774,509320,7.208
19500,0.136,1e-05,0.958,25.004,511931,7.208
19600,0.149,1e-05,0.951,25.105,514572,7.208
19700,0.143,1e-05,0.954,24.808,517173,7.208
19800,0.159,1e-05,0.95,25.231,519830,7.208
19900,0.145,1e-05,0.957,24.896,522432,7.208
20000,0.145,1e-05,0.957,25.056,525051,7.208
20100,0.122,1e-05,0.954,24.909,527661,7.208
20200,0.171,1e-05,0.948,25.14,530313,7.208
20300,0.112,1e-05,0.959,24.9,532909,7.208
20400,0.151,1e-05,0.953,24.977,535530,7.208
20500,0.154,1e-05,0.94,24.878,538177,7.208
20600,0.153,1e-05,0.955,25.401,540837,7.208
20700,0.139,1e-05,0.949,24.962,543467,7.208
20800,0.148,1e-05,0.955,25.616,546148,7.208
20900,0.125,1e-05,0.948,24.496,548733,7.208
21000,0.153,1e-05,0.958,24.983,551342,7.208
21100,0.148,1e-05,0.961,25.439,553989,7.208
21200,0.163,1e-05,0.959,25.02,556598,7.208
21300,0.131,1e-05,0.96,25.342,559239,7.208
21400,0.139,1e-05,0.952,24.871,561851,7.208
21500,0.161,1e-05,0.905,23.969,564500,7.208
21600,0.146,1e-05,0.898,23.299,567094,7.208
21700,0.147,1e-05,0.832,22.127,569754,7.208
21705,0.216,1e-05,15.549,21.302,569891,7.208
