label_id,label,tn,fp,fn,tp
0,admiration,1282,20,50,44
1,amusement,1329,10,9,48
2,anger,1312,11,49,24
3,annoyance,1236,28,109,23
4,approval,1163,31,158,44
5,caring,1319,16,45,16
6,confusion,1279,19,70,28
7,curiosity,1228,50,35,83
8,desire,1363,6,16,11
9,disappointment,1316,15,55,10
10,disapproval,1258,29,74,35
11,disgust,1363,4,26,3
12,embarrassment,1384,0,11,1
13,excitement,1370,5,21,0
14,fear,1375,1,15,5
15,gratitude,1382,0,12,2
16,grief,1394,0,2,0
17,joy,1347,4,38,7
18,love,1350,8,18,20
19,nervousness,1388,0,8,0
20,optimism,1347,1,42,6
21,pride,1390,0,6,0
22,realization,1320,0,71,5
23,relief,1388,0,7,1
24,remorse,1389,3,4,0
25,sadness,1326,12,39,19
26,surprise,1359,4,28,5
27,neutral,0,0,690,706
