step,loss,input_tokens,step_seconds,peak_mlx_memory_gb
1,0.9149131774902344,140,1.2024293749127537,8.385562418
2,0.09797728061676025,126,0.9132186661008745,8.406121086
3,1.0636992454528809,140,1.1963474170770496,8.434707502
4,0.01714903861284256,203,1.6092041248921305,8.525576386
5,1.5871081352233887,158,1.228802541969344,8.525576386
6,2.504180431365967,214,1.6271166249644011,8.552109958
7,0.5517743229866028,139,1.2017429168336093,8.552109958
8,0.09276952594518661,210,1.6108794170431793,8.554668234
9,1.9062203168869019,140,1.197853208053857,8.554668234
10,1.8238729238510132,129,1.1504877919796854,8.554668234
11,0.07005421817302704,129,1.140724833123386,8.554668234
12,1.057957410812378,135,1.2013909998349845,8.554668234
13,0.06139714643359184,137,1.2123027499765158,8.554668234
14,0.9467176198959351,257,2.0030996249988675,8.612067146
15,0.48131629824638367,137,1.2036737909074873,8.612067146
16,0.38066089153289795,143,1.1934330000076443,8.612067146
17,1.3041307926177979,170,1.3151472921017557,8.612067146
18,1.1346864700317383,211,1.6248498340137303,8.612067146
19,0.41784340143203735,126,1.6665254579856992,8.612067146
20,0.5640031695365906,183,1.29579162504524,8.612067146
21,0.4293344020843506,303,2.801873499993235,8.67435875
22,1.1212013959884644,133,1.550605625147,8.67435875
23,0.39564424753189087,128,0.9849308328703046,8.67435875
24,0.55222487449646,292,2.0464327081572264,8.67435875
25,0.4385952949523926,165,2.079878290882334,8.67435875
26,0.4177764654159546,159,1.7830617080908269,8.67435875
27,0.3869866132736206,214,1.6458930419757962,8.67435875
28,0.5562727451324463,143,1.2711131249088794,8.67435875
29,0.27030596137046814,181,1.86136429104954,8.67435875
30,0.1970481127500534,129,1.245082583045587,8.67435875
31,0.25221186876296997,194,1.5868855421431363,8.67435875
32,0.06757475435733795,131,1.9369272079784423,8.67435875
