policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
m1_max_entropy,mean_entropy,1.0,love,854,854,1.0
m1_max_entropy,mean_entropy,1.0,joy,343,343,1.0
m1_max_entropy,mean_entropy,1.0,surprise,31,31,1.0
m1_max_entropy,mean_entropy,1.0,anger,618,618,1.0
m1_max_entropy,mean_entropy,1.0,sadness,161,161,1.0
m1_max_entropy,mean_entropy,1.0,fear,74,74,1.0
m1_max_entropy,mean_entropy,0.95,love,854,831,0.9730679156908665
m1_max_entropy,mean_entropy,0.95,joy,343,307,0.8950437317784257
m1_max_entropy,mean_entropy,0.95,surprise,31,22,0.7096774193548387
m1_max_entropy,mean_entropy,0.95,anger,618,604,0.9773462783171522
m1_max_entropy,mean_entropy,0.95,sadness,161,126,0.782608695652174
m1_max_entropy,mean_entropy,0.95,fear,74,36,0.4864864864864865
m1_max_entropy,mean_entropy,0.9,love,854,800,0.936768149882904
m1_max_entropy,mean_entropy,0.9,joy,343,253,0.7376093294460642
m1_max_entropy,mean_entropy,0.9,surprise,31,20,0.6451612903225806
m1_max_entropy,mean_entropy,0.9,anger,618,594,0.9611650485436893
m1_max_entropy,mean_entropy,0.9,sadness,161,85,0.5279503105590062
m1_max_entropy,mean_entropy,0.9,fear,74,29,0.3918918918918919
m1_max_entropy,mean_entropy,0.8,love,854,725,0.8489461358313818
m1_max_entropy,mean_entropy,0.8,joy,343,121,0.35276967930029157
m1_max_entropy,mean_entropy,0.8,surprise,31,17,0.5483870967741935
m1_max_entropy,mean_entropy,0.8,anger,618,568,0.919093851132686
m1_max_entropy,mean_entropy,0.8,sadness,161,49,0.30434782608695654
m1_max_entropy,mean_entropy,0.8,fear,74,17,0.22972972972972974
m1_max_entropy,mean_entropy,0.7,love,854,649,0.7599531615925058
m1_max_entropy,mean_entropy,0.7,joy,343,91,0.2653061224489796
m1_max_entropy,mean_entropy,0.7,surprise,31,14,0.45161290322580644
m1_max_entropy,mean_entropy,0.7,anger,618,486,0.7864077669902912
m1_max_entropy,mean_entropy,0.7,sadness,161,34,0.2111801242236025
m1_max_entropy,mean_entropy,0.7,fear,74,12,0.16216216216216217
m1_max_entropy,mean_entropy,0.6,love,854,603,0.7060889929742389
m1_max_entropy,mean_entropy,0.6,joy,343,76,0.22157434402332363
m1_max_entropy,mean_entropy,0.6,surprise,31,11,0.3548387096774194
m1_max_entropy,mean_entropy,0.6,anger,618,284,0.459546925566343
m1_max_entropy,mean_entropy,0.6,sadness,161,25,0.15527950310559005
m1_max_entropy,mean_entropy,0.6,fear,74,9,0.12162162162162163
m1_max_entropy,max_entropy,1.0,love,854,854,1.0
m1_max_entropy,max_entropy,1.0,joy,343,343,1.0
m1_max_entropy,max_entropy,1.0,surprise,31,31,1.0
m1_max_entropy,max_entropy,1.0,anger,618,618,1.0
m1_max_entropy,max_entropy,1.0,sadness,161,161,1.0
m1_max_entropy,max_entropy,1.0,fear,74,74,1.0
m1_max_entropy,max_entropy,0.95,love,854,815,0.9543325526932084
m1_max_entropy,max_entropy,0.95,joy,343,285,0.8309037900874635
m1_max_entropy,max_entropy,0.95,surprise,31,28,0.9032258064516129
m1_max_entropy,max_entropy,0.95,anger,618,598,0.9676375404530745
m1_max_entropy,max_entropy,0.95,sadness,161,151,0.937888198757764
m1_max_entropy,max_entropy,0.95,fear,74,63,0.8513513513513513
m1_max_entropy,max_entropy,0.9,love,854,780,0.9133489461358314
m1_max_entropy,max_entropy,0.9,joy,343,250,0.7288629737609329
m1_max_entropy,max_entropy,0.9,surprise,31,24,0.7741935483870968
m1_max_entropy,max_entropy,0.9,anger,618,580,0.9385113268608414
m1_max_entropy,max_entropy,0.9,sadness,161,137,0.8509316770186336
m1_max_entropy,max_entropy,0.9,fear,74,44,0.5945945945945946
m1_max_entropy,max_entropy,0.8,love,854,713,0.8348946135831382
