family,method,target_coverage,label,positive_support,retained_positive,positive_retention
m1,mean_entropy,1.0,love,854,854,1.0
m1,mean_entropy,1.0,joy,343,343,1.0
m1,mean_entropy,1.0,surprise,31,31,1.0
m1,mean_entropy,1.0,anger,618,618,1.0
m1,mean_entropy,1.0,sadness,161,161,1.0
m1,mean_entropy,1.0,fear,74,74,1.0
m1,mean_entropy,0.95,love,854,831,0.9730679156908665
m1,mean_entropy,0.95,joy,343,321,0.9358600583090378
m1,mean_entropy,0.95,surprise,31,31,1.0
m1,mean_entropy,0.95,anger,618,605,0.9789644012944984
m1,mean_entropy,0.95,sadness,161,124,0.7701863354037267
m1,mean_entropy,0.95,fear,74,23,0.3108108108108108
m1,mean_entropy,0.9,love,854,797,0.9332552693208431
m1,mean_entropy,0.9,joy,343,271,0.7900874635568513
m1,mean_entropy,0.9,surprise,31,29,0.9354838709677419
m1,mean_entropy,0.9,anger,618,594,0.9611650485436893
m1,mean_entropy,0.9,sadness,161,80,0.4968944099378882
m1,mean_entropy,0.9,fear,74,14,0.1891891891891892
m1,mean_entropy,0.8,love,854,716,0.8384074941451991
m1,mean_entropy,0.8,joy,343,134,0.39067055393586003
m1,mean_entropy,0.8,surprise,31,20,0.6451612903225806
m1,mean_entropy,0.8,anger,618,569,0.9207119741100324
m1,mean_entropy,0.8,sadness,161,44,0.2732919254658385
m1,mean_entropy,0.8,fear,74,10,0.13513513513513514
m1,mean_entropy,0.7,love,854,630,0.7377049180327869
m1,mean_entropy,0.7,joy,343,76,0.22157434402332363
m1,mean_entropy,0.7,surprise,31,13,0.41935483870967744
m1,mean_entropy,0.7,anger,618,497,0.8042071197411004
m1,mean_entropy,0.7,sadness,161,28,0.17391304347826086
m1,mean_entropy,0.7,fear,74,6,0.08108108108108109
m1,mean_entropy,0.6,love,854,500,0.585480093676815
m1,mean_entropy,0.6,joy,343,48,0.13994169096209913
m1,mean_entropy,0.6,surprise,31,11,0.3548387096774194
m1,mean_entropy,0.6,anger,618,406,0.656957928802589
m1,mean_entropy,0.6,sadness,161,18,0.11180124223602485
m1,mean_entropy,0.6,fear,74,3,0.04054054054054054
m1,max_entropy,1.0,love,854,854,1.0
m1,max_entropy,1.0,joy,343,343,1.0
m1,max_entropy,1.0,surprise,31,31,1.0
m1,max_entropy,1.0,anger,618,618,1.0
m1,max_entropy,1.0,sadness,161,161,1.0
m1,max_entropy,1.0,fear,74,74,1.0
m1,max_entropy,0.95,love,854,804,0.9414519906323185
m1,max_entropy,0.95,joy,343,307,0.8950437317784257
m1,max_entropy,0.95,surprise,31,31,1.0
