policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
m1_max_entropy,mean_entropy,1.0,love,854,854,1.0
m1_max_entropy,mean_entropy,1.0,joy,343,343,1.0
m1_max_entropy,mean_entropy,1.0,surprise,31,31,1.0
m1_max_entropy,mean_entropy,1.0,anger,618,618,1.0
m1_max_entropy,mean_entropy,1.0,sadness,161,161,1.0
m1_max_entropy,mean_entropy,1.0,fear,74,74,1.0
m1_max_entropy,mean_entropy,0.95,love,854,834,0.9765807962529274
m1_max_entropy,mean_entropy,0.95,joy,343,311,0.9067055393586005
m1_max_entropy,mean_entropy,0.95,surprise,31,25,0.8064516129032258
m1_max_entropy,mean_entropy,0.95,anger,618,605,0.9789644012944984
m1_max_entropy,mean_entropy,0.95,sadness,161,106,0.6583850931677019
m1_max_entropy,mean_entropy,0.95,fear,74,37,0.5
m1_max_entropy,mean_entropy,0.9,love,854,798,0.9344262295081968
m1_max_entropy,mean_entropy,0.9,joy,343,244,0.7113702623906706
m1_max_entropy,mean_entropy,0.9,surprise,31,22,0.7096774193548387
m1_max_entropy,mean_entropy,0.9,anger,618,596,0.9644012944983819
m1_max_entropy,mean_entropy,0.9,sadness,161,71,0.4409937888198758
m1_max_entropy,mean_entropy,0.9,fear,74,36,0.4864864864864865
m1_max_entropy,mean_entropy,0.8,love,854,709,0.8302107728337237
m1_max_entropy,mean_entropy,0.8,joy,343,120,0.3498542274052478
m1_max_entropy,mean_entropy,0.8,surprise,31,16,0.5161290322580645
m1_max_entropy,mean_entropy,0.8,anger,618,566,0.9158576051779935
m1_max_entropy,mean_entropy,0.8,sadness,161,54,0.33540372670807456
m1_max_entropy,mean_entropy,0.8,fear,74,24,0.32432432432432434
m1_max_entropy,mean_entropy,0.7,love,854,609,0.7131147540983607
m1_max_entropy,mean_entropy,0.7,joy,343,67,0.19533527696793002
m1_max_entropy,mean_entropy,0.7,surprise,31,12,0.3870967741935484
m1_max_entropy,mean_entropy,0.7,anger,618,503,0.813915857605178
m1_max_entropy,mean_entropy,0.7,sadness,161,27,0.16770186335403728
m1_max_entropy,mean_entropy,0.7,fear,74,11,0.14864864864864866
m1_max_entropy,mean_entropy,0.6,love,854,473,0.5538641686182669
m1_max_entropy,mean_entropy,0.6,joy,343,48,0.13994169096209913
m1_max_entropy,mean_entropy,0.6,surprise,31,10,0.3225806451612903
m1_max_entropy,mean_entropy,0.6,anger,618,397,0.6423948220064725
m1_max_entropy,mean_entropy,0.6,sadness,161,20,0.12422360248447205
m1_max_entropy,mean_entropy,0.6,fear,74,11,0.14864864864864866
m1_max_entropy,max_entropy,1.0,love,854,854,1.0
m1_max_entropy,max_entropy,1.0,joy,343,343,1.0
m1_max_entropy,max_entropy,1.0,surprise,31,31,1.0
m1_max_entropy,max_entropy,1.0,anger,618,618,1.0
m1_max_entropy,max_entropy,1.0,sadness,161,161,1.0
m1_max_entropy,max_entropy,1.0,fear,74,74,1.0
m1_max_entropy,max_entropy,0.95,love,854,809,0.9473067915690867
m1_max_entropy,max_entropy,0.95,joy,343,286,0.8338192419825073
m1_max_entropy,max_entropy,0.95,surprise,31,30,0.967741935483871
m1_max_entropy,max_entropy,0.95,anger,618,603,0.9757281553398058
m1_max_entropy,max_entropy,0.95,sadness,161,147,0.9130434782608695
m1_max_entropy,max_entropy,0.95,fear,74,65,0.8783783783783784
m1_max_entropy,max_entropy,0.9,love,854,766,0.8969555035128806
m1_max_entropy,max_entropy,0.9,joy,343,240,0.6997084548104956
m1_max_entropy,max_entropy,0.9,surprise,31,28,0.9032258064516129
m1_max_entropy,max_entropy,0.9,anger,618,583,0.9433656957928802
m1_max_entropy,max_entropy,0.9,sadness,161,137,0.8509316770186336
m1_max_entropy,max_entropy,0.9,fear,74,52,0.7027027027027027
m1_max_entropy,max_entropy,0.8,love,854,699,0.8185011709601874
