family,target_coverage,actual_coverage,accepted_rows,metric,mean,p2_5,p5,p50,p95,p97_5
m1,1.0,1.0,3360,hamming_risk,0.05228174603174605,0.05228174603174603,0.05228174603174603,0.05228174603174603,0.05228174603174603,0.05228174603174603
m1,1.0,1.0,3360,macro_f1,0.5737412252800612,0.5737412252800612,0.5737412252800612,0.5737412252800612,0.5737412252800612,0.5737412252800612
m1,1.0,1.0,3360,five_label_macro_f1,0.6884894703360739,0.6884894703360734,0.6884894703360734,0.6884894703360734,0.6884894703360734,0.6884894703360734
m1,0.95,0.9494047619047619,3190,hamming_risk,0.0522962382445141,0.051515151515151514,0.051567398119122254,0.052298850574712646,0.05282915360501567,0.05308254963427377
m1,0.95,0.9494047619047619,3190,macro_f1,0.5739644377094848,0.5687238737912624,0.5697891170841968,0.5736604304418111,0.5783259096127376,0.5792461597878449
m1,0.95,0.9494047619047619,3190,five_label_macro_f1,0.6887573252513818,0.6824686485495148,0.6837469405010361,0.6883925165301734,0.6939910915352852,0.6950953917454138
m1,0.9,0.9002976190476191,3025,hamming_risk,0.05224793388429752,0.05118181818181818,0.05134986225895317,0.05228650137741047,0.05317079889807162,0.05333333333333334
m1,0.9,0.9002976190476191,3025,macro_f1,0.5739274723162372,0.5682744018098383,0.5684389784585444,0.5736361538617996,0.5812912101851662,0.5821828833437284
m1,0.9,0.9002976190476191,3025,five_label_macro_f1,0.6887129667794849,0.6819292821718059,0.6821267741502532,0.6883633846341595,0.6975494522221994,0.6986194600124741
m1,0.8,0.8005952380952381,2690,hamming_risk,0.052248451053283775,0.050463135068153656,0.05091697645600991,0.052261462205700125,0.0537825278810409,0.05387391573729863
m1,0.8,0.8005952380952381,2690,macro_f1,0.5736300819654292,0.562807339258049,0.563574895053569,0.5745114488806642,0.5824913639709145,0.58314969718624
m1,0.8,0.8005952380952381,2690,five_label_macro_f1,0.6883560983585152,0.675368807109659,0.6762898740642828,0.6894137386567969,0.6989896367650975,0.699779636623488
m1,0.7,0.6994047619047619,2350,hamming_risk,0.05216241134751773,0.0499290780141844,0.05020212765957447,0.0523049645390071,0.05391489361702128,0.054292553191489366
m1,0.7,0.6994047619047619,2350,macro_f1,0.5733957723544182,0.5611044223580748,0.5634062014639554,0.5736167767166009,0.5839841641742991,0.584257721040934
m1,0.7,0.6994047619047619,2350,five_label_macro_f1,0.6880749268253018,0.6733253068296898,0.6760874417567465,0.6883401320599211,0.7007809970091589,0.7011092652491209
