policy,target_call_rate,actual_call_rate,routed_rows,qwen_calls_per_1000,macro_f1,five_label_macro_f1,micro_f1,hamming_loss,subset_accuracy,f1_love,f1_joy,f1_surprise,f1_anger,f1_sadness,f1_fear
m1_only,0.0,0.0,0,0.0,0.5737412252800612,0.6884894703360734,0.754083061129258,0.05228174603174603,0.7598214285714285,0.8401114206128134,0.5737931034482758,0.0,0.8040912667191188,0.6230529595015576,0.6013986013986014
m3_only,1.0,1.0,3360,1000.0,0.6578221370100936,0.7105986856242336,0.7645614818120956,0.05233134920634921,0.7458333333333333,0.833948339483395,0.6203059805285118,0.393939393939394,0.8018223234624147,0.6687116564417178,0.6282051282051282
m1_max_entropy,0.0,0.0,0,0.0,0.5737412252800612,0.6884894703360734,0.754083061129258,0.05228174603174603,0.7598214285714285,0.8401114206128134,0.5737931034482758,0.0,0.8040912667191188,0.6230529595015576,0.6013986013986014
m1_max_entropy,0.05,0.05029761904761905,169,50.29761904761905,0.5991880023740555,0.6954961910841606,0.7578549492085991,0.05084325396825397,0.7672619047619048,0.8386376326074819,0.573487031700288,0.1176470588235294,0.8047619047619048,0.6518987341772152,0.6086956521739131
m1_max_entropy,0.1,0.0994047619047619,334,99.4047619047619,0.6354173739136867,0.702500848696424,0.7627884844158934,0.04945436507936508,0.7741071428571429,0.8431044109436069,0.5739910313901346,0.30000000000000004,0.8028616852146264,0.6601941747572816,0.6323529411764707
m1_max_entropy,0.15,0.15029761904761904,505,150.29761904761904,0.6594259047763483,0.7147153410507668,0.7721128764524543,0.04766865079365079,0.7794642857142857,0.8486187845303867,0.5963302752293578,0.3829787234042554,0.8069896743447181,0.6644951140065146,0.6571428571428571
m1_max_entropy,0.2,0.20089285714285715,675,200.89285714285714,0.661711611621886,0.7156225613972435,0.7728989612842304,0.047718253968253965,0.7779761904761905,0.8407224958949097,0.6113671274961597,0.39215686274509803,0.8124006359300477,0.6753246753246753,0.6382978723404256
m1_max_entropy,0.3,0.3014880952380952,1013,301.48809523809524,0.661712057232721,0.7226258972506937,0.7766227766227767,0.047966269841269844,0.7705357142857143,0.8408119658119658,0.6287425149700598,0.3571428571428571,0.8176100628930818,0.6773162939297125,0.6486486486486487
m1_max_entropy,0.5,0.5056547619047619,1699,505.65476190476187,0.6583221788687023,0.7185580432138713,0.7718181818181818,0.0498015873015873,0.7592261904761904,0.8371352785145888,0.6285714285714287,0.3571428571428571,0.8114817688130334,0.6750788643533123,0.6405228758169935
m1_max_entropy,1.0,1.0,3360,1000.0,0.6578221370100936,0.7105986856242336,0.7645614818120956,0.05233134920634921,0.7458333333333333,0.833948339483395,0.6203059805285118,0.393939393939394,0.8018223234624147,0.6687116564417178,0.6282051282051282
