rank_macro_f1,mean_train_macro_f1,std_train_macro_f1,mean_cv_macro_f1,std_cv_macro_f1,mean_train_accuracy,std_train_accuracy,mean_cv_accuracy,std_cv_accuracy,mean_fit_seconds,std_fit_seconds,params_json
29,0.772305303909,0.006458462827,0.538944474960,0.020191526521,0.845947061484,0.003249416428,0.664423774655,0.017676483255,0.312317,0.053462,"{""C"": 0.05, ""character_ngram_range"": [3, 5], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
28,0.770195977965,0.007769376750,0.540160579045,0.019967579177,0.844027999758,0.003987470301,0.663194424811,0.016992544802,0.346226,0.004896,"{""C"": 0.05, ""character_ngram_range"": [2, 5], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
30,0.771458565128,0.006605045712,0.534230220493,0.017698204584,0.845947032023,0.003435819932,0.660431803832,0.015852013261,0.400493,0.003624,"{""C"": 0.05, ""character_ngram_range"": [3, 6], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
12,0.951864619616,0.003355450259,0.654196985558,0.017345310029,0.951335158935,0.002637934281,0.710167934183,0.013808321862,0.290858,0.006845,"{""C"": 0.05, ""character_ngram_range"": [3, 5], ""class_weight"": ""balanced"", ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
10,0.951973031007,0.002691713315,0.657750704097,0.022375238556,0.950951517464,0.001748080482,0.712010309764,0.018459309463,0.352188,0.007346,"{""C"": 0.05, ""character_ngram_range"": [2, 5], ""class_weight"": ""balanced"", ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
14,0.955010997415,0.002678375124,0.652343251422,0.017539618376,0.954328899940,0.001822389338,0.709246275197,0.012724552345,0.410656,0.013443,"{""C"": 0.05, ""character_ngram_range"": [3, 6], ""class_weight"": ""balanced"", ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
26,0.931669896196,0.002435056809,0.607109302213,0.038629741795,0.946346346759,0.000781694144,0.698187309755,0.016403693194,0.295102,0.006699,"{""C"": 0.1, ""character_ngram_range"": [3, 5], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
25,0.927596583994,0.002487629795,0.608984432739,0.035724305428,0.943967074358,0.001487617449,0.698187309755,0.016779213259,0.360724,0.003845,"{""C"": 0.1, ""character_ngram_range"": [2, 5], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
27,0.934143327766,0.003410369045,0.605951208862,0.033903739394,0.948111798699,0.001597694115,0.698496414200,0.015044864903,0.412163,0.006923,"{""C"": 0.1, ""character_ngram_range"": [3, 6], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
5,0.976776701622,0.001798310855,0.663306411591,0.009487787078,0.976665748465,0.001885303736,0.714155664245,0.009333690484,0.301966,0.005513,"{""C"": 0.1, ""character_ngram_range"": [3, 5], ""class_weight"": ""balanced"", ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
3,0.975712186135,0.001943124030,0.668805774452,0.010772987406,0.975437606704,0.001863533967,0.718455325926,0.009258152938,0.375169,0.011292,"{""C"": 0.1, ""character_ngram_range"": [2, 5], ""class_weight"": ""balanced"", ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
6,0.978151672044,0.001824220339,0.661020774175,0.010096726202,0.978047441089,0.001804926169,0.712619565934,0.008123152042,0.429831,0.021770,"{""C"": 0.1, ""character_ngram_range"": [3, 6], ""class_weight"": ""balanced"", ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
18,0.988816230486,0.001731660712,0.645905175138,0.025130365698,0.990174924838,0.001826920269,0.715072611273,0.015727702154,0.319708,0.004985,"{""C"": 0.25, ""character_ngram_range"": [3, 5], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
24,0.988726919199,0.001986572132,0.637932753625,0.031227107227,0.989944598542,0.002080560375,0.710159923855,0.013034129832,0.381122,0.001309,"{""C"": 0.25, ""character_ngram_range"": [2, 5], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
23,0.989176708559,0.001474879677,0.642191199658,0.025700730823,0.990405221672,0.001682254627,0.712004184219,0.014276444661,0.441123,0.003851,"{""C"": 0.25, ""character_ngram_range"": [3, 6], ""class_weight"": null, ""min_df"": 2, ""word_ngram_range"": [1, 2]}"
