slice,label,precision,recall,f1,support
all,joy,0.0,0.0,0.0,61
all,sadness,0.0,0.0,0.0,20
all,anger,0.0,0.0,0.0,43
all,positive,0.0,0.0,0.0,97
all,negative,0.0,0.0,0.0,110
all,neutral,0.0,0.0,0.0,60
all,no_emotion,0.6926100628930818,1.0,0.8183929400836043,881
context_available,joy,0.0,0.0,0.0,37
context_available,sadness,0.0,0.0,0.0,13
context_available,anger,0.0,0.0,0.0,27
context_available,positive,0.0,0.0,0.0,57
context_available,negative,0.0,0.0,0.0,59
context_available,neutral,0.0,0.0,0.0,40
context_available,no_emotion,0.752127659574468,1.0,0.8585306618093503,707
first_clause,joy,0.0,0.0,0.0,24
first_clause,sadness,0.0,0.0,0.0,7
first_clause,anger,0.0,0.0,0.0,16
first_clause,positive,0.0,0.0,0.0,40
first_clause,negative,0.0,0.0,0.0,51
first_clause,neutral,0.0,0.0,0.0,20
first_clause,no_emotion,0.5240963855421686,1.0,0.6877470355731226,174
