iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
10,0.783,1e-05,0.538,7.319,136,8.65
20,0.097,1e-05,0.562,7.637,272,8.65
30,0.101,1e-05,0.568,7.845,410,8.65
40,0.074,1e-05,0.579,7.88,546,8.65
50,0.213,1e-05,0.578,7.459,675,8.65
60,0.111,1e-05,0.572,7.89,813,8.65
70,0.155,1e-05,0.565,7.351,943,8.65
80,0.074,1e-05,0.568,7.728,1079,8.65
90,0.071,1e-05,0.568,7.381,1209,8.65
100,0.123,1e-05,0.566,7.25,1337,8.65
110,0.051,1e-05,0.567,7.597,1471,8.65
120,0.07,1e-05,0.578,7.801,1606,8.65
130,0.161,1e-05,0.583,7.573,1736,8.65
140,0.053,1e-05,0.587,8.097,1874,8.65
150,0.082,1e-05,0.569,7.625,2008,8.679
160,0.058,1e-05,0.563,7.55,2142,8.679
170,0.063,1e-05,0.585,7.951,2278,8.679
180,0.099,1e-05,0.583,7.697,2410,8.679
190,0.083,1e-05,0.582,8.037,2548,8.679
200,0.121,1e-05,0.583,7.759,2681,8.679
