iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
10,0.814,1e-05,0.538,7.431,138,8.65
20,0.147,1e-05,0.579,7.876,274,8.726
30,0.169,1e-05,0.58,7.778,408,8.726
40,0.216,1e-05,0.59,7.673,538,8.726
50,0.068,1e-05,0.588,7.996,674,8.726
60,0.095,1e-05,0.582,7.796,808,8.726
70,0.07,1e-05,0.585,7.842,942,8.726
80,0.058,1e-05,0.596,8.11,1078,8.726
90,0.054,1e-05,0.575,7.824,1214,8.726
100,0.055,1e-05,0.59,8.083,1351,8.726
110,0.08,1e-05,0.591,7.807,1483,8.726
120,0.055,1e-05,0.596,8.228,1621,8.726
130,0.084,1e-05,0.597,8.0,1755,8.726
140,0.09,1e-05,0.594,7.903,1888,8.726
150,0.075,1e-05,0.595,7.732,2018,8.726
160,0.084,1e-05,0.596,7.87,2150,8.726
170,0.094,1e-05,0.596,8.101,2286,8.726
180,0.04,1e-05,0.596,8.23,2424,8.726
190,0.142,1e-05,0.594,7.895,2557,8.726
200,0.064,1e-05,0.596,8.1,2693,8.726
210,0.089,1e-05,0.592,7.808,2825,8.726
220,0.085,1e-05,0.593,8.01,2960,8.726
230,0.048,1e-05,0.594,8.084,3096,8.726
240,0.086,1e-05,0.594,7.957,3230,8.726
250,0.104,1e-05,0.595,7.919,3363,8.726
260,0.066,1e-05,0.594,8.019,3498,8.726
270,0.085,1e-05,0.593,7.946,3632,8.726
280,0.082,1e-05,0.589,7.898,3766,8.726
290,0.143,1e-05,0.593,7.593,3894,8.726
300,0.061,1e-05,0.593,8.064,4030,8.726
310,0.074,1e-05,0.594,8.084,4166,8.726
320,0.098,1e-05,0.593,7.705,4296,8.726
330,0.02,1e-05,0.593,8.308,4436,8.726
340,0.029,1e-05,0.593,8.183,4574,8.726
350,0.134,1e-05,0.593,7.708,4704,8.726
360,0.065,1e-05,0.593,7.828,4836,8.726
370,0.046,1e-05,0.594,7.836,4968,8.726
380,0.085,1e-05,0.594,7.719,5098,8.726
390,0.113,1e-05,0.592,7.82,5230,8.726
400,0.139,1e-05,0.59,7.725,5361,8.726
410,0.042,1e-05,0.593,7.952,5495,8.726
420,0.1,1e-05,0.593,7.765,5626,8.726
430,0.025,1e-05,0.592,8.29,5766,8.726
440,0.137,1e-05,0.593,7.704,5896,8.726
450,0.031,1e-05,0.591,8.151,6034,8.726
460,0.032,1e-05,0.592,8.172,6172,8.726
470,0.028,1e-05,0.589,8.133,6310,8.726
480,0.09,1e-05,0.591,7.926,6444,8.726
490,0.033,1e-05,0.591,8.157,6582,8.726
500,0.037,1e-05,0.594,8.078,6718,8.726
510,0.069,1e-05,0.592,7.939,6852,8.726
520,0.024,1e-05,0.593,8.179,6990,8.726
530,0.113,1e-05,0.592,7.872,7123,8.726
540,0.029,1e-05,0.593,8.129,7260,8.726
550,0.048,1e-05,0.594,7.846,7392,8.726
560,0.037,1e-05,0.592,8.051,7528,8.726
570,0.045,1e-05,0.587,7.87,7662,8.726
580,0.09,1e-05,0.594,8.022,7797,8.726
590,0.067,1e-05,0.593,7.951,7931,8.726
600,0.062,1e-05,0.592,7.933,8065,8.726
610,0.09,1e-05,0.593,7.886,8198,8.726
620,0.039,1e-05,0.591,7.913,8332,8.726
630,0.082,1e-05,0.591,7.925,8466,8.726
640,0.036,1e-05,0.593,8.124,8603,8.726
650,0.074,1e-05,0.595,7.848,8735,8.726
660,0.069,1e-05,0.591,7.916,8869,8.726
670,0.045,1e-05,0.59,8.027,9005,8.726
680,0.05,1e-05,0.594,7.964,9139,8.726
690,0.05,1e-05,0.593,7.948,9273,8.726
700,0.049,1e-05,0.594,8.315,9413,8.726
710,0.071,1e-05,0.593,7.948,9547,8.726
720,0.096,1e-05,0.591,7.86,9680,8.726
730,0.036,1e-05,0.593,8.061,9816,8.726
740,0.07,1e-05,0.593,8.061,9952,8.726
750,0.026,1e-05,0.591,8.156,10090,8.726
760,0.066,1e-05,0.593,8.066,10226,8.726
770,0.057,1e-05,0.594,8.084,10362,8.726
780,0.038,1e-05,0.593,8.185,10500,8.726
790,0.056,1e-05,0.593,7.948,10634,8.726
800,0.072,1e-05,0.593,7.825,10766,8.726
810,0.027,1e-05,0.591,8.04,10902,8.726
820,0.083,1e-05,0.592,7.701,11032,8.726
830,0.031,1e-05,0.591,8.044,11168,8.726
840,0.136,1e-05,0.594,7.835,11300,8.726
850,0.045,1e-05,0.592,7.937,11434,8.726
860,0.065,1e-05,0.592,7.818,11566,8.726
870,0.027,1e-05,0.591,8.269,11706,8.726
880,0.116,1e-05,0.593,7.946,11840,8.726
890,0.031,1e-05,0.596,8.1,11976,8.726
900,0.08,1e-05,0.592,7.933,12110,8.726
910,0.03,1e-05,0.593,7.824,12242,8.726
920,0.027,1e-05,0.592,8.175,12380,8.726
930,0.029,1e-05,0.592,8.048,12516,8.726
940,0.101,1e-05,0.594,8.072,12652,8.726
950,0.122,1e-05,0.591,7.924,12786,8.726
960,0.077,1e-05,0.593,7.707,12916,8.726
970,0.026,1e-05,0.593,8.065,13052,8.726
980,0.066,1e-05,0.576,7.721,13186,8.726
990,0.112,1e-05,0.593,7.712,13316,8.726
1000,0.083,1e-05,0.595,7.732,13446,8.726
1010,0.064,1e-05,0.591,8.039,13582,8.726
1020,0.055,1e-05,0.591,7.925,13716,8.726
1030,0.034,1e-05,0.59,8.02,13852,8.726
1040,0.085,1e-05,0.588,7.645,13982,8.726
1050,0.021,1e-05,0.589,8.131,14120,8.726
1060,0.11,1e-05,0.588,7.525,14248,8.726
1070,0.037,1e-05,0.593,7.943,14382,8.726
1080,0.085,1e-05,0.592,7.631,14511,8.726
1090,0.088,1e-05,0.592,7.991,14646,8.726
1100,0.071,1e-05,0.589,8.01,14782,8.726
1110,0.042,1e-05,0.592,7.81,14914,8.726
1120,0.033,1e-05,0.59,8.026,15050,8.726
1130,0.027,1e-05,0.588,7.999,15186,8.726
1140,0.044,1e-05,0.59,8.143,15324,8.726
1150,0.055,1e-05,0.587,7.865,15458,8.726
1160,0.033,1e-05,0.591,8.04,15594,8.726
1170,0.093,1e-05,0.591,7.92,15728,8.726
1180,0.049,1e-05,0.576,7.599,15860,8.726
1190,0.111,1e-05,0.591,7.797,15992,8.726
1200,0.132,1e-05,0.589,7.777,16124,8.726
1210,0.033,1e-05,0.591,8.042,16260,8.726
1220,0.038,1e-05,0.59,8.028,16396,8.726
1230,0.113,1e-05,0.591,7.925,16530,8.726
1240,0.084,1e-05,0.591,7.806,16662,8.726
1250,0.059,1e-05,0.591,8.038,16798,8.726
1260,0.061,1e-05,0.593,8.002,16933,8.726
1270,0.061,1e-05,0.59,8.021,17069,8.726
1280,0.059,1e-05,0.591,7.913,17203,8.726
1290,0.049,1e-05,0.592,7.808,17335,8.726
1300,0.072,1e-05,0.589,7.893,17469,8.726
1310,0.046,1e-05,0.592,7.931,17603,8.726
1320,0.031,1e-05,0.588,7.874,17737,8.726
1330,0.013,1e-05,0.592,8.045,17873,8.726
1340,0.078,1e-05,0.591,7.679,18003,8.726
1350,0.037,1e-05,0.588,7.76,18135,8.726
1360,0.097,1e-05,0.592,7.575,18263,8.726
1370,0.036,1e-05,0.588,7.883,18397,8.726
1380,0.066,1e-05,0.591,7.8,18529,8.726
1390,0.089,1e-05,0.589,7.657,18659,8.726
1400,0.028,1e-05,0.585,7.726,18791,8.726
1410,0.141,1e-05,0.584,7.712,18923,8.726
1420,0.057,1e-05,0.603,7.841,19053,8.726
1430,0.056,1e-05,0.581,7.791,19187,8.726
1440,0.079,1e-05,0.619,7.979,19316,8.726
1450,0.064,1e-05,0.668,8.556,19444,8.726
1460,0.071,1e-05,0.667,9.071,19580,8.726
1470,0.063,1e-05,0.669,8.693,19710,8.726
1480,0.048,1e-05,0.64,8.701,19846,8.726
1490,0.075,1e-05,0.583,7.695,19978,8.726
1500,0.033,1e-05,0.589,8.185,20117,8.726
1510,0.071,1e-05,0.589,7.897,20251,8.726
1520,0.049,1e-05,0.585,7.842,20385,8.726
1530,0.053,1e-05,0.588,7.64,20515,8.726
1540,0.036,1e-05,0.671,8.989,20649,8.726
1550,0.046,1e-05,0.588,7.995,20785,8.726
1560,0.114,1e-05,0.578,7.568,20916,8.726
1570,0.069,1e-05,0.59,7.908,21050,8.726
1580,0.045,1e-05,0.585,7.726,21182,8.726
1590,0.085,1e-05,0.587,7.989,21318,8.726
1600,0.046,1e-05,0.593,7.763,21449,8.726
1610,0.071,1e-05,0.593,7.706,21579,8.726
1620,0.02,1e-05,0.59,7.783,21711,8.726
1630,0.074,1e-05,0.593,8.068,21847,8.726
1640,0.099,1e-05,0.591,7.689,21977,8.726
1650,0.121,1e-05,0.592,7.997,22112,8.726
1660,0.022,1e-05,0.591,8.037,22248,8.726
1670,0.073,1e-05,0.591,7.916,22382,8.726
1680,0.034,1e-05,0.592,7.996,22517,8.726
1690,0.068,1e-05,0.591,8.034,22653,8.726
1700,0.121,1e-05,0.591,7.685,22783,8.726
1710,0.081,1e-05,0.593,7.715,22913,8.726
1720,0.057,1e-05,0.592,7.934,23047,8.726
1730,0.045,1e-05,0.593,8.069,23183,8.726
1740,0.098,1e-05,0.592,7.988,23318,8.726
1750,0.058,1e-05,0.592,7.816,23450,8.726
1760,0.038,1e-05,0.591,8.042,23586,8.726
1770,0.01,1e-05,0.591,8.281,23726,8.726
1780,0.043,1e-05,0.594,8.081,23862,8.726
1790,0.02,1e-05,0.592,8.057,23998,8.726
