iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
10,1.055,1e-05,0.524,7.132,136,8.65
20,0.211,1e-05,0.554,7.423,270,8.726
30,0.131,1e-05,0.561,7.624,406,8.726
40,0.036,1e-05,0.56,7.614,542,8.726
50,0.076,1e-05,0.56,7.672,679,8.726
60,0.078,1e-05,0.561,7.511,813,8.726
70,0.036,1e-05,0.555,7.658,951,8.726
80,0.034,1e-05,0.559,7.609,1087,8.726
90,0.106,1e-05,0.558,7.364,1219,8.726
100,0.096,1e-05,0.556,7.45,1353,8.726
110,0.142,1e-05,0.56,6.944,1477,8.726
120,0.12,1e-05,0.56,7.392,1609,8.726
130,0.087,1e-05,0.558,7.259,1739,8.726
140,0.048,1e-05,0.559,7.382,1871,8.726
150,0.028,1e-05,0.558,7.703,2009,8.726
160,0.168,1e-05,0.56,7.274,2139,8.726
170,0.034,1e-05,0.557,7.684,2277,8.726
180,0.111,1e-05,0.56,7.17,2405,8.726
190,0.162,1e-05,0.555,7.387,2538,8.726
200,0.102,1e-05,0.561,7.345,2669,8.726
210,0.149,1e-05,0.558,7.148,2797,8.726
220,0.104,1e-05,0.559,7.383,2929,8.726
230,0.059,1e-05,0.558,7.698,3067,8.726
240,0.067,1e-05,0.561,7.623,3203,8.726
250,0.085,1e-05,0.557,7.464,3337,8.726
260,0.117,1e-05,0.56,7.331,3468,8.726
270,0.098,1e-05,0.558,7.369,3600,8.726
280,0.063,1e-05,0.562,7.645,3736,8.726
290,0.062,1e-05,0.556,7.561,3872,8.726
300,0.092,1e-05,0.562,7.413,4004,8.726
310,0.02,1e-05,0.559,7.832,4144,8.726
320,0.088,1e-05,0.558,7.483,4278,8.726
330,0.065,1e-05,0.557,7.466,4412,8.726
340,0.041,1e-05,0.56,7.622,4548,8.726
350,0.063,1e-05,0.56,7.62,4684,8.726
360,0.122,1e-05,0.558,7.305,4815,8.726
370,0.067,1e-05,0.559,7.596,4951,8.726
380,0.08,1e-05,0.558,7.476,5085,8.726
390,0.079,1e-05,0.558,7.477,5219,8.726
400,0.053,1e-05,0.556,7.453,5353,8.726
410,0.117,1e-05,0.559,7.04,5479,8.726
420,0.05,1e-05,0.56,7.507,5613,8.726
430,0.039,1e-05,0.559,7.384,5745,8.726
440,0.094,1e-05,0.559,7.596,5881,8.726
450,0.051,1e-05,0.555,7.544,6017,8.726
460,0.04,1e-05,0.557,7.688,6155,8.726
470,0.057,1e-05,0.556,7.561,6291,8.726
480,0.185,1e-05,0.558,7.257,6421,8.726
490,0.085,1e-05,0.559,7.271,6551,8.726
500,0.072,1e-05,0.558,7.138,6679,8.726
510,0.052,1e-05,0.561,7.849,6819,8.726
520,0.06,1e-05,0.555,7.438,6953,8.726
530,0.08,1e-05,0.557,7.464,7087,8.726
540,0.061,1e-05,0.559,7.384,7219,8.726
550,0.051,1e-05,0.559,7.604,7355,8.726
560,0.068,1e-05,0.557,7.573,7491,8.726
570,0.064,1e-05,0.527,7.012,7624,8.726
580,0.065,1e-05,0.557,7.351,7756,8.726
590,0.068,1e-05,0.543,7.163,7888,8.726
600,0.053,1e-05,0.558,7.363,8020,8.726
610,0.066,1e-05,0.554,6.818,8143,8.726
620,0.034,1e-05,0.561,7.297,8273,8.726
630,0.098,1e-05,0.555,7.436,8407,8.726
640,0.081,1e-05,0.555,7.221,8537,8.726
